Employee_id,First_Name,Last_Name,Gender,Salary,Date_of_Birth,Age,Country,Department_id,Date_of_Joining,Manager_id,Currency,End_Date
1379,Klarrisa,Caile,Female,123945,08/09/1980,33,Australia,4,13/05/2003,4,USD,17/08/2006
1144,Rosemaria,Shieldon,Female,105777,16/08/1987,25,Australia,19,09/06/2000,6,USD,09/12/2011
1023,Biddie,Paolone,Male,113582,17/10/1981,36,UAE,2,07/06/2007,10,USD,17/11/2018
1437,Abner,Ellerington,Male,112349,24/08/1990,38,Germay,5,23/02/2011,1,USD,28/11/2018
1247,Nils,Ilyinski,Female,111907,27/03/1986,29,Canada,4,27/05/2003,3,USD,20/05/2006
1128,Patrizius,Sanpher,Female,146209,08/02/1995,65,UAE,12,20/01/2010,1,USD,17/08/2012
1373,Lindy,Copestick,Female,104192,10/08/1986,50,Sweden,1,15/05/2011,2,USD,13/05/2016
1442,Allegra,Syseland,Female,100917,14/04/1998,63,Denmark,7,05/10/2010,6,USD,25/05/2010
1042,Trude,Phippen,Male,131623,30/05/1991,64,Sweden,2,12/10/2004,4,USD,12/09/2013
1324,Sidoney,Kenzie,Female,132287,28/09/1987,38,Denmark,9,21/04/2003,8,USD,15/03/2006
1396,Vickie,Dawidowitsch,Female,126026,07/11/1982,57,Japan,6,09/11/2006,3,USD,17/10/2012
1329,Melonie,Allsworth,Male,93550,16/09/1980,26,Japan,18,14/10/2007,6,USD,22/10/2012
1399,Tracy,Hake,Male,123447,11/11/1987,60,USA,11,01/03/2006,2,USD,17/04/2012
1150,Gilda,Carlino,Female,136335,15/06/1992,39,Australia,11,25/07/2014,4,USD,26/10/2013
1385,Luci,Layne,Male,119403,04/04/1990,58,Australia,19,15/06/2011,8,USD,29/04/2016
1102,Hailey,Endecott,Female,100668,19/03/1989,57,Germay,10,15/07/2015,7,USD,18/02/2001
1253,Duffy,Cocke,Male,112961,27/05/1989,25,Germay,19,18/02/2011,6,USD,13/01/2007
1365,D'arcy,Lumsdaine,Male,132543,21/04/1998,59,China,5,29/09/2008,9,USD,26/10/2014
1383,Lind,Mournian,Female,103631,11/06/1988,51,Japan,9,06/07/2000,10,USD,11/06/2011
1175,Marlene,Heinssen,Female,137076,17/06/1999,57,Denmark,14,25/01/2013,10,USD,13/07/2011
1359,Nancie,Georgins,Male,143628,19/12/1999,28,UAE,5,02/05/2014,2,USD,23/12/2008
1429,Victoria,Siburn,Male,121823,02/09/1981,47,Japan,6,08/04/2005,5,USD,24/03/2017
1056,Orin,Grund,Female,103615,31/01/1996,48,Brazil,18,13/09/2007,10,USD,14/06/2004
1323,Darb,Flooks,Male,142894,02/08/1993,44,China,2,02/02/2009,8,USD,06/09/2011
